id,first_ts,last_ts,available_duration,plug_name,appliance_category,comment,files_names,power_max
52,2020-06-15 15:30:59+00:00,2020-07-14 23:59:59+00:00,29.35,washing_machine,washing,lave linge tambour,washing_machine_52.csv,2171.0
44,2020-12-01 06:54:44+00:00,2020-12-31 06:54:44+00:00,30.0,computer,multimedia,tour PC,computer_44.csv,280.0
233,2020-12-06 18:10:48+00:00,2021-01-05 18:10:48+00:00,30.0,boiler,kitchen,,boiler_233.csv,2607.5
147,2021-02-15 14:26:18+00:00,2021-03-17 14:26:18+00:00,30.0,micro_wave_oven,kitchen,,micro_wave_oven_147.csv,1802.0
286,2020-11-25 00:00:00+00:00,2020-12-24 23:59:59+00:00,30.0,printer,multimedia,Imprimante Canon (peu utilisée),printer_286.csv,32.0
284,2020-12-04 00:32:37+00:00,2021-01-03 00:32:36+00:00,30.0,fridge,kitchen,refrigerateur samsung,fridge_284.csv,280.0
97,2021-03-26 20:39:53+00:00,2021-04-25 20:39:53+00:00,30.0,coffee,kitchen,Machine à café Senseo Philipps,coffee_97.csv,1399.0
98,2021-08-13 00:00:00+00:00,2021-09-11 23:59:59+00:00,30.0,fridge,kitchen,combiné Whirlpool,fridge_98.csv,742.0
135,2021-07-02 00:00:00+00:00,2021-07-31 23:59:58+00:00,30.0,washing_machine,washing,Lave-linge Candy,washing_machine_135.csv,1955.0
131,2021-06-22 13:31:30+00:00,2021-07-22 13:31:27+00:00,30.0,internet_router,multimedia,Livebox,internet_router_131.csv,16.0
219,2021-02-11 00:00:00+00:00,2021-03-12 23:59:59+00:00,30.0,dryer,washing,,dryer_219.csv,3267.0
217,2020-09-23 22:13:53+00:00,2020-10-23 22:13:53+00:00,30.0,boiler,kitchen,Bouilloire électrique,boiler_217.csv,2545.0
218,2021-04-03 17:57:56+00:00,2021-05-03 17:57:55+00:00,30.0,washing_machine,washing,Lave-linge Candy,washing_machine_218.csv,2523.0
249,2020-10-09 13:53:49+00:00,2020-11-08 13:53:48+00:00,30.0,freezer,kitchen,Congélateur vedette Adelys,freezer_249.csv,1623.0
